"customer_id";"customer_name";"customer_segment";"city";"state";"join_date";"join_date_clean";"rn";"missing_city_flag";"city_clean"
"C00001";"Priya Mishra";"Wholesale";"Kolkata";"West Bengal";"2019-08-02";"2019-08-02";1;"No";"Kolkata"
"C00002";"Vijay Kumar";"Wholesale";"Unknown";"Maharashtra";"2020-05-05";"2020-05-05";1;"Yes";"Unknown"
"C00003";"MANOJ MEHTA";"Retail";"Lucknow";"Uttar Pradesh";"2020-09-26";"2020-09-26";1;"No";"Lucknow"
"C00004";"Kavya Singh";"Wholesale";"Delhi";"Delhi";"2019-09-03";"2019-09-03";1;"No";"Delhi"
"C00005";"Priya Rao";"Corporate";"Ahmedabad";"Gujarat";"2021-08-11";"2021-08-11";1;"No";"Ahmedabad"
"C00006";"Suresh Mishra";"Wholesale";"Kolkata";"Unknown";"2023-03-28";"2023-03-28";1;"No";"Kolkata"
"C00007";"Kavya Gupta";"Retail";"Kolkata";"West Bengal";"2024-06-30";"2024-06-30";1;"No";"Kolkata"
"C00008";"vijay tiwari";"Wholesale";"Pune";"Maharashtra";"2020-10-18";"2020-10-18";1;"No";"Pune"
"C00009";"amit chauhan";"Wholesale";"Hyderabad";"Telangana";"2024-09-03";"2024-09-03";1;"No";"Hyderabad"
"C00010";"Manoj Patel";"Corporate";"Pune";"Maharashtra";"2019-09-17";"2019-09-17";1;"No";"Pune"
"C00011";"meera iyer";"Corporate";"Kolkata";"West Bengal";"2022-03-05";"2022-03-05";1;"No";"Kolkata"
"C00012";"Suresh Pillai";"Retail";"Delhi";"Delhi";"2020-06-15";"2020-06-15";1;"No";"Delhi"
"C00013";"Anita Verma";"Wholesale";"Chennai";"Tamil Nadu";"2023-05-11";"2023-05-11";1;"No";"Chennai"
"C00014";"Swati Chauhan";"Corporate";"Unknown";"Telangana";"2019-10-18";"2019-10-18";1;"Yes";"Unknown"
"C00015";"Ravi Joshi";"Retail";"Kolkata";"West Bengal";"2023-08-31";"2023-08-31";1;"No";"Kolkata"
"C00016";"Kavya Verma";"Wholesale";"Unknown";"Gujarat";"2022-05-29";"2022-05-29";1;"Yes";"Unknown"
"C00017";"Amit Joshi";"Retail";"Delhi";"Delhi";"2021-02-15";"2021-02-15";1;"No";"Delhi"
"C00018";"Vijay Chauhan";"Corporate";"Nagpur";"Maharashtra";"2023-08-28";"2023-08-28";1;"No";"Nagpur"
"C00019";"Sunita Tiwari";"Wholesale";"Bhopal";"Madhya Pradesh";"2020-11-14";"2020-11-14";1;"No";"Bhopal"
